City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Oistins,BB,2022-03-28 01:05:14,13.0667,-59.5333,78.89,69,40,17.27
67,Gloversville,US,2022-03-28 01:09:48,43.0528,-74.3438,24.94,73,75,18.41
68,Emerald,AU,2022-03-28 01:06:40,-23.5333,148.1667,80.35,58,0,3.58
69,Jalu,LY,2022-03-28 01:09:48,29.0331,21.5482,59.45,19,0,9.64
70,San Patricio,US,2022-03-28 01:09:49,28.017,-97.5169,72.18,69,3,14.92
71,Sampit,ID,2022-03-28 01:09:49,-2.5333,112.95,81.36,81,70,1.25
72,Tarakan,ID,2022-03-28 01:09:50,3.3,117.6333,78.3,83,20,4.61
73,Sitka,US,2022-03-28 01:09:50,57.0531,-135.33,44.49,65,20,6.91
74,Hofn,IS,2022-03-28 01:09:51,64.2539,-15.2082,32.18,78,100,6.89
75,Mackay,AU,2022-03-28 01:09:52,-21.15,149.2,87.67,72,2,8.5
76,Komsomolskiy,UZ,2022-03-28 01:09:52,40.4272,71.7189,44.85,68,4,0.6
77,Ipixuna,BR,2022-03-28 01:09:53,-1.7625,-48.8043,75.06,97,100,2.55
78,Tuktoyaktuk,CA,2022-03-28 01:09:53,69.4541,-133.0374,-7.19,85,8,8.21
79,Abadiania,BR,2022-03-28 01:09:54,-16.2042,-48.7069,66.51,74,12,1.52
80,Pisco,PE,2022-03-28 01:08:16,-13.7,-76.2167,69.85,78,0,9.22
81,Yumen,CN,2022-03-28 01:09:55,40.2833,97.2,43.14,31,100,19.26
82,Nizhniy Baskunchak,RU,2022-03-28 01:09:56,48.2198,46.8311,30.4,75,100,17.2
83,Tasiilaq,GL,2022-03-28 01:09:56,65.6145,-37.6368,26.76,69,100,8.72
84,Port Pirie,AU,2022-03-28 01:09:57,-33.1833,138.0167,75.29,31,0,10.51
85,Gunnedah,AU,2022-03-28 01:09:58,-30.9833,150.25,69.8,70,100,4.5
86,Mataura,NZ,2022-03-28 01:09:58,-46.1927,168.8643,73.62,46,0,2.51
87,Lorengau,PG,2022-03-28 01:09:59,-2.0226,147.2712,82.72,76,100,5.14
88,Ponta Do Sol,PT,2022-03-28 01:09:13,32.6667,-17.1,62.06,78,100,5.75
89,Lagoa,PT,2022-03-28 01:09:59,39.05,-27.9833,58.71,84,100,11.14
90,Coihaique,CL,2022-03-28 01:11:00,-45.5752,-72.0662,47.01,99,100,4.65
91,Tual,ID,2022-03-28 01:11:00,-5.6667,132.75,79.21,85,100,16.84
92,Saint-Philippe,RE,2022-03-28 01:07:55,-21.3585,55.7679,78.39,84,47,8.46
93,Dikson,RU,2022-03-28 01:11:01,73.5069,80.5464,-18.02,100,92,4.47
94,Mikuni,JP,2022-03-28 01:11:01,36.2171,136.1519,47.64,46,100,12.95
95,Rundu,NA,2022-03-28 01:11:02,-17.9333,19.7667,65.01,46,11,1.74
96,Thompson,CA,2022-03-28 01:10:14,55.7435,-97.8558,4.44,90,42,2.98
97,Plouzane,FR,2022-03-28 01:11:02,48.3833,-4.6167,55.45,72,0,6.91
98,Busselton,AU,2022-03-28 01:11:03,-33.65,115.3333,64.9,59,2,15.59
99,Lasa,IT,2022-03-28 01:11:03,46.6166,10.7002,41.02,68,1,1.23
100,Mecca,SA,2022-03-28 01:09:01,21.4267,39.8261,70.63,47,2,0.67
101,Beni,CD,2022-03-28 01:11:04,0.5,29.4667,61.3,98,86,2.42
102,Bugiri,UG,2022-03-28 01:11:05,0.5714,33.7417,64.63,92,98,2.01
103,Ribeira Grande,PT,2022-03-28 01:11:05,38.5167,-28.7,60.12,83,99,9.93
104,Lebu,CL,2022-03-28 01:11:06,-37.6167,-73.65,53.53,86,2,9.42
105,Ukiah,US,2022-03-28 01:11:07,39.1502,-123.2078,57.43,75,100,10.36
106,Qaqortoq,GL,2022-03-28 01:11:08,60.7167,-46.0333,22.84,81,70,4.12
107,Naze,JP,2022-03-28 01:11:08,28.3667,129.4833,63.66,61,96,17.31
108,Blackfoot,US,2022-03-28 01:11:09,43.1905,-112.345,69.76,28,63,9.33
109,Buala,SB,2022-03-28 01:11:10,-8.145,159.5921,82.94,78,100,7.76
110,Esperance,AU,2022-03-28 01:11:07,-33.8667,121.9,65.08,64,63,12.46
111,Nikel,RU,2022-03-28 01:11:11,69.4128,30.222,5.18,97,90,1.77
112,Okhotsk,RU,2022-03-28 01:11:11,59.3833,143.3,13.32,69,0,18.43
113,Hanzhong,CN,2022-03-28 01:11:12,33.0728,107.0303,58.89,59,32,2.91
114,Castro,BR,2022-03-28 01:11:13,-24.7911,-50.0119,61.74,81,4,1.88
115,Agua Prieta,MX,2022-03-28 01:06:38,31.3,-109.5667,80.37,9,2,15.26
116,Tiksi,RU,2022-03-28 01:11:14,71.6872,128.8694,0.12,93,100,3.89
117,Port Hueneme,US,2022-03-28 01:09:54,34.1478,-119.1951,64.33,75,100,9.22
118,Salalah,OM,2022-03-28 01:11:15,17.0151,54.0924,75.29,53,0,2.3
119,Coquimbo,CL,2022-03-28 01:07:20,-29.9533,-71.3436,62.87,81,4,3.29
120,Aykhal,RU,2022-03-28 01:11:16,66.0,111.5,6.31,96,99,5.03
121,Bredasdorp,ZA,2022-03-28 01:11:16,-34.5322,20.0403,64.92,69,100,4.03
122,Bluff,NZ,2022-03-28 01:11:17,-46.6,168.3333,59.29,77,0,2.82
123,Anloga,GH,2022-03-28 01:11:18,5.7947,0.8973,82.18,85,41,12.01
124,Talnakh,RU,2022-03-28 01:11:18,69.4865,88.3972,4.57,97,96,5.1
125,Upington,ZA,2022-03-28 01:11:19,-28.4478,21.2561,76.23,34,0,14.56
126,Lewistown,US,2022-03-28 01:06:43,40.5992,-77.5714,27.81,70,0,21.85
127,Beloha,MG,2022-03-28 01:11:19,-25.1667,45.05,72.46,86,100,11.59
