City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Tirano,IT,46.2154,10.1679,52.18,56,15,3.36,few clouds
80,Hasaki,JP,35.7333,140.8333,50.4,59,100,11.1,overcast clouds
81,Keti Bandar,PK,24.1447,67.4497,78.62,77,33,12.8,scattered clouds
82,Hambantota,LK,6.1241,81.1185,77.83,86,18,4.36,few clouds
83,Namatanai,PG,-3.6667,152.4333,83.97,70,79,3.6,broken clouds
84,Torbay,CA,47.6666,-52.7314,39.97,86,100,4.61,overcast clouds
85,Pangai,TO,-19.8,-174.35,82.51,78,75,4.61,broken clouds
86,Hamilton,US,39.1834,-84.5333,41.99,42,0,10.36,clear sky
87,West Wendover,US,40.7391,-114.0733,67.03,15,99,27.25,overcast clouds
88,Fairbanks,US,64.8378,-147.7164,42.76,39,20,8.05,few clouds
89,Nanortalik,GL,60.1432,-45.2371,31.32,80,48,3.38,scattered clouds
90,Lake City,US,30.1897,-82.6393,77.81,53,0,11.5,clear sky
91,Geraldton,AU,-28.7667,114.6,73.81,78,75,16.11,broken clouds
92,Port Elizabeth,ZA,-33.918,25.5701,70.32,86,0,8.05,clear sky
93,Mount Gambier,AU,-37.8333,140.7667,60.31,68,84,5.06,broken clouds
94,Byron Bay,AU,-28.65,153.6167,70.72,91,100,18.05,overcast clouds
95,Mwense,ZM,-10.3845,28.698,65.84,97,100,3.33,moderate rain
96,Pakenham,AU,-38.0667,145.4833,66.15,82,62,1.99,broken clouds
97,Leshukonskoye,RU,64.8989,45.7622,8.13,99,82,2.8,broken clouds
98,Daru,PG,-9.0763,143.2092,76.82,91,99,13.24,overcast clouds
99,Lorengau,PG,-2.0226,147.2712,80.78,82,100,7.96,moderate rain
100,Jalpan,MX,21.2333,-99.4833,89.17,22,7,6.22,clear sky
101,Bandarbeyla,SO,9.4942,50.8122,77.43,80,5,10.18,light rain
102,Cootamundra,AU,-34.65,148.0333,75.94,55,100,8.32,overcast clouds
103,Abha,SA,18.2164,42.5053,53.85,28,0,4.61,clear sky
104,Carlisle,US,40.2015,-77.1889,28.51,35,100,5.99,overcast clouds
105,Wad Madani,SD,14.4012,33.5199,80.15,18,3,11.88,clear sky
106,Husavik,IS,66.0449,-17.3389,25.52,75,77,7.05,broken clouds
107,Ancud,CL,-41.8697,-73.8203,48.22,75,65,16.87,light rain
108,Vytegra,RU,61.0064,36.4481,19.13,89,100,9.15,overcast clouds
109,Icod De Los Vinos,ES,28.3724,-16.7119,66.47,94,45,9.8,scattered clouds
110,Fare,PF,-16.7,-151.0167,82.36,73,26,15.17,scattered clouds
111,Dikson,RU,73.5069,80.5464,-10.95,100,92,6.46,overcast clouds
